"ID","Site.Longitude","Site.Latitude","X","Y"
480271045,-97.431052,31.122419,1744488.99425876,7447505.92375652
480271047,-97.679734,31.088002,1720905.52714416,7443160.03403286
480290032,-98.620166,29.51509,1633554.09663739,7266968.14429716
480290052,-98.564936,29.632058,1638731.12643865,7280022.13479902
480290059,-98.311692,29.275381,1663815.10864924,7240773.18681576
480391004,-95.392509,29.520443,1945816.95023616,7276010.84870226
480391016,-95.472946,29.043759,1940202.10690995,7222818.17285438
480430101,-103.17781,29.30265,1191777.07111001,7246975.99447673
480611023,-97.712684,26.200335,1728971.98014066,6901077.69690295
480850005,-96.786419,33.1324,1799340.31274238,7672341.5816129
481130069,-96.860117,32.820061,1793461.57234277,7637459.53903293
481130075,-96.808498,32.919206,1797967.11438305,7648607.76732374
481130087,-96.87206,32.676451,1792796.50862003,7621478.93246704
481210034,-97.196284,33.219069,1760926.89625947,7680928.31979795
481211032,-96.94459,33.410648,1783757.61552226,7702820.55353143
481391044,-96.870189,32.175417,1794545.64469859,7565836.23155914
481410029,-106.323578,31.785769,902661.918309848,7535444.27682339
481410044,-106.455227,31.765685,890109.95969033,7533934.31764983
481410055,-106.402806,31.746775,894935.660480144,7531548.93398646
481410057,-106.288,31.6675,905272.848921471,7522132.42052598
481410058,-106.425827,31.893913,893711.307956774,7547996.88606863
481411021,-106.5473,31.86247,882056.79303802,7545180.87099542
481671034,-94.861289,29.254474,1998552.74382935,7248778.67287972
481830001,-94.711813,32.378696,1996468.00200956,7596121.04171155
482010024,-95.326137,29.901036,1950451.12589959,7318503.85086144
482010026,-95.125495,29.802707,1970256.83805314,7308429.04968142
482010029,-95.673951,30.039524,1916346.73980044,7332509.39774221
482010046,-95.284096,29.828086,1954845.53378009,7310581.86974589
482010047,-95.489167,29.834167,1935050.27109401,7310432.15192223
482010051,-95.474167,29.623889,1937450.69543649,7287160.96768834
482010055,-95.499219,29.695729,1934706.30286337,7295032.56678641
482010062,-95.267222,29.625556,1957433.41373918,7288182.52098273
482010066,-95.635833,29.723333,1921397.60379871,7297566.92915399
482010416,-95.294722,29.686389,1954490.00716576,7294817.82039867
482010417,-95.395784,29.772915,1944334.38874147,7304007.019847
482011015,-95.079444,29.758889,1974912.84359924,7303764.6338919
482011017,-94.988423,29.827158,1983348.72865386,7311732.08834027
482011034,-95.220582,29.767997,1961255.68730542,7304178.15520558
482011035,-95.257593,29.733726,1957849.01004641,7300222.41511518
482011039,-95.128508,29.670025,1970614.63069668,7293697.12842789
482011050,-95.015544,29.583047,1981955.10638758,7284535.2039244
482030002,-94.167468,32.669001,2045828.34677802,7630898.83535196
482090614,-98.083347,30.214616,1684163.13639174,7345413.22959669
482150043,-98.2908496,26.226343,1671055.61560332,6902909.16493974
482210001,-97.803529,32.442304,1706134.7900518,7593371.26837107
482311006,-96.115572,33.153088,1861724.63434069,7676642.0139764
482450009,-94.071061,30.036422,2070502.58487193,7339311.33183938
482450011,-93.991084,29.897516,2079027.8540171,7324322.4732205
482450022,-94.317802,29.863957,2047764.54487594,7318937.73410896
482450101,-93.894081,29.727931,2089404.19580575,7306030.61505198
482450102,-94.000556,29.9425,2077845.34897841,7329261.32059071
482450628,-93.951163,29.867756,2083051.41314785,7321232.02492984
482451035,-94.004746,29.979958,2077216.94882476,7333393.34699372
482510003,-97.436742,32.353595,1740779.617596,7584257.52665011
482570005,-96.317687,32.564968,1845083.91815099,7610695.87375991
483091037,-97.070704,31.653086,1777215.71723102,7507300.79954534
483390078,-95.425128,30.350302,1938854.23987699,7367961.27144137
483491051,-96.399141,32.031934,1839379.83063664,7551249.43763253
483550025,-97.434262,27.76534,1752821.69123463,7074940.81015447
483550026,-97.555387,27.832413,1740724.10253377,7082103.95987957
483611001,-93.761341,30.085263,2099968.50628296,7346365.30999409
483611100,-93.866944,30.194167,2089153.2869109,7357874.89230072
483670081,-97.905931,32.868773,1695629.28501816,7640559.18588672
483739991,-94.6742,30.7017,2008959.24836895,7410173.64601723
483819991,-101.6649,34.8803,1347820.29351247,7863209.48548078
483970001,-96.459211,32.936523,1830505.36415332,7651522.41681228
484230007,-95.415754,32.344027,1930580.49864377,7589324.59516339
484390075,-97.477175,32.987891,1735375.98036125,7654624.68616048
484391002,-97.356529,32.80581,1747113.08829122,7634664.50341862
484392003,-97.282099,32.922492,1753751.16471459,7647792.27929492
484393009,-97.063721,32.98426,1773952.93717436,7655172.75932852
484393011,-97.088598,32.65637,1772590.60698192,7618695.59285939
484530014,-97.761803,30.354944,1714739.85202664,7361577.00865698
484530020,-97.875084,30.483163,1703599.24579746,7375603.04721865
484690003,-97.005525,28.836214,1791845.81257043,7194729.5345533
484790016,-99.523949,27.507904,1547035.70472399,7043579.80603172
