"X","Y"
1750279.34443014,6869464.72178419
1758565.83914454,6867450.4652225
1764179.89186423,6867498.74043661
1729063.0185563,6881482.36636127
1740306.8284747,6878684.21866511
1748081.65557528,6876741.99712937
1758007.07156546,6876658.29788512
1767855.20223818,6876853.57534446
1777815.68662786,6878342.70202047
1784618.63011585,6878450.61421072
1670631.5261823,6890677.31498741
1678508.85547676,6888730.83687257
1687935.69874785,6888313.66566355
1697659.16821124,6887970.05290941
1707867.00647527,6888332.11764983
1718275.33865598,6887913.73855948
1728087.23359934,6886942.22720332
1738063.80484354,6886725.68059397
1748007.07156546,6886658.29788512
1758007.07156546,6886658.29788512
1767929.05299444,6886581.04553143
1777571.18561249,6885124.34859123
1784281.27016189,6885379.57584027
1650890.26588118,6901088.34202217
1660231.00925321,6899208.66924641
1668580.02173984,6897225.70823138
1678007.07156546,6896658.29788512
1688007.07156546,6896658.29788512
1698007.07156546,6896658.29788512
1708007.07156546,6896658.29788512
1718007.07156546,6896658.29788512
1728007.07156546,6896658.29788512
1738007.07156546,6896658.29788512
1748007.07156546,6896658.29788512
1758007.07156546,6896658.29788512
1766863.09732471,6896635.97443803
1782651.44060832,6898349.4209963
1783449.21456909,6894645.77432457
1630227.22024589,6909188.70932537
1637791.61458312,6908108.93772504
1648229.84030073,6907116.34766484
1658073.93425502,6906748.0137234
1668007.07156546,6906658.29788512
1678007.07156546,6906658.29788512
1688007.07156546,6906658.29788512
1698007.07156546,6906658.29788512
1708007.07156546,6906658.29788512
1718007.07156546,6906658.29788512
1728007.07156546,6906658.29788512
1738007.07156546,6906658.29788512
1748007.07156546,6906658.29788512
1758007.07156546,6906658.29788512
1766485.56847576,6906787.08063925
1781439.57995934,6906760.38922251
1592158.81691758,6921272.00629577
1599090.09314436,6921150.58639891
1609100.39216183,6919678.80017173
1618702.76651758,6918821.09581521
1628189.82882717,6916861.71432809
1638007.07156546,6916658.29788512
1648007.07156546,6916658.29788512
1658007.07156546,6916658.29788512
1668007.07156546,6916658.29788512
1678007.07156546,6916658.29788512
1688007.07156546,6916658.29788512
1698007.07156546,6916658.29788512
1708007.07156546,6916658.29788512
1718007.07156546,6916658.29788512
1728007.07156546,6916658.29788512
1738007.07156546,6916658.29788512
1748007.07156546,6916658.29788512
1758007.07156546,6916658.29788512
1765927.38776029,6915930.38588631
1779056.37676717,6916908.17312185
1591376.26718138,6926529.95822976
1598043.5602615,6926763.80073861
1608007.07156546,6926658.29788512
