"AQSID","X","Y","Temp","CountyName"
"480271045",1744478.62947379,7447517.68599755,27.1,"BELL"
"480271047",1720905.52714416,7443160.03403286,26.9,"BELL"
"480290032",1633569.99855718,7266958.23833767,30.6,"BEXAR"
"480290052",1638724.54199457,7280037.81779593,29.6,"BEXAR"
"480290055",1652022.42714102,7255234.87809321,30,"BEXAR"
"480290059",1663814.5683448,7240764.07487651,30.6,"BEXAR"
"480290501",1623770.77015195,7240383.40515868,30.8,"BEXAR"
"480290502",1632731.85179361,7290822.24878669,28.5,"BEXAR"
"480290622",1661633.84954642,7249347.67873377,30.9,"BEXAR"
"480290677",1637522.47264533,7256896.96471993,30.2,"BEXAR"
"480291069",1655672.78042311,7268855.72315444,29.7,"BEXAR"
"480371031",2049855.24885516,7716382.39195372,24.6,"BOWIE"
"480391003",1947684.82491822,7219499.18067582,24.8,"BRAZORIA"
"480391004",1945818.48132263,7275995.02180873,25.1,"BRAZORIA"
"480391016",1940139.27016246,7222797.93961335,24.8,"BRAZORIA"
"480430101",1191748.37604704,7246960.1602629,38.4,"BREWSTER"
"480611023",1728990.42705981,6901071.77216797,30.1,"CAMERON"
"480612004",1783976.59485372,6888296.8803356,25.7,"CAMERON"
"480710013",2004232.79934769,7281471.62238826,25.8,"CHAMBERS"
"480850005",1799369.69623628,7672353.54848664,24.3,"COLLIN"
"480850009",1795353.81144901,7673589.28245016,24.9,"COLLIN"
"481130050",1799431.66601042,7632533.36035707,26,"DALLAS"
"481130069",1793472.696774,7637453.07490149,26.4,"DALLAS"
"481130075",1797967.11438305,7648607.76732374,25.2,"DALLAS"
"481130087",1792829.41626224,7621507.53880481,25.6,"DALLAS"
"481131067",1803089.3151432,7648976.18009294,25,"DALLAS"
"481210034",1761274.02639733,7678195.90656224,24.8,"DENTON"
"481211032",1783840.08983235,7702828.60927116,24.5,"DENTON"
"481350003",1278795.19813409,7526374.9366181,33.5,"ECTOR"
"481351014",1279548.52834704,7530088.13493099,33.4,"ECTOR"
"481391044",1794454.33354014,7566031.84521076,26,"ELLIS"
"481410044",890130.831802317,7533923.6379808,29.1,"EL PASO"
"481410047",894144.386068193,7534841.16272429,29,"EL PASO"
"481410054",899071.055875742,7526538.28242811,29,"EL PASO"
"481410055",894935.556218351,7531540.59235063,29,"EL PASO"
"481410057",905297.539778519,7522133.24218547,29.3,"EL PASO"
"481410058",893736.693838942,7547992.73928707,28.4,"EL PASO"
"481670005",1991079.28232464,7262965.11430071,24.9,"GALVESTON"
"481671034",1998982.24442019,7249757.2131624,23.7,"GALVESTON"
"481830001",1996468.26392738,7596119.49689973,25.9,"GREGG"
"482010024",1950454.38966012,7318511.10255757,25.9,"HARRIS"
"482010026",1970247.72700144,7308405.63903227,25.5,"HARRIS"
"482010029",1916352.1837915,7332495.82838035,26.7,"HARRIS"
"482010036",1972363.39175232,7305564.58714022,25.5,"HARRIS"
"482010051",1937447.45762337,7287162.0576218,26.1,"HARRIS"
"482010055",1934707.81644775,7295040.51874018,26,"HARRIS"
"482010057",1959720.56850329,7300364.39656775,26.3,"HARRIS"
"482010058",1979516.33717985,7305294.41501136,25,"HARRIS"
"482010061",1981549.98584163,7288035.04846505,25.2,"HARRIS"
"482010066",1921400.933033,7297563.39326065,25.8,"HARRIS"
"482010069",1957688.77506188,7297178.43365034,25.5,"HARRIS"
"482010307",1957696.51791654,7298556.82951579,25.8,"HARRIS"
"482010416",1954489.8093799,7294817.92312498,25.5,"HARRIS"
"482011015",1975015.27039589,7304381.7636987,24.9,"HARRIS"
"482011017",1983814.95971005,7311326.46910781,24.9,"HARRIS"
"482011034",1961253.4574731,7304189.50717118,25.7,"HARRIS"
"482011035",1957857.15544847,7300242.10353716,25.9,"HARRIS"
"482011039",1970614.63069668,7293697.12842789,25.5,"HARRIS"
"482011043",1976925.32515351,7293629.71020432,25.1,"HARRIS"
"482011050",1981949.4303912,7284540.8387992,25.1,"HARRIS"
"482011052",1944922.53227445,7308656.74386296,26.2,"HARRIS"
"482011066",1935223.45771765,7297928.7458421,26.5,"HARRIS"
"482016000",1958499.00014173,7294745.82204471,25.9,"HARRIS"
"482030002",2045759.90004512,7631073.12819802,25,"HARRISON"
"482031079",2017566.08120551,7607331.04223888,25.7,"HARRISON"
"482150043",1671033.75904722,6902895.88414282,31,"HIDALGO"
"482151046",1684829.12855871,6910020.61330719,30.7,"HIDALGO"
"482210001",1706157.16932931,7593326.81526771,26.3,"HOOD"
"482271072",1367700.78339858,7574163.88141039,35,"HOWARD"
"482311006",1861725.70113656,7676640.8287274,24.5,"HUNT"
"482331073",1369554.182284,7951175.85641509,30.5,"HUTCHINSON"
"482450009",2070135.06441819,7339622.84960147,24.5,"JEFFERSON"
"482450011",2079392.86889865,7323973.51872485,24.7,"JEFFERSON"
"482450014",2087751.50998874,7331905.61457399,25.4,"JEFFERSON"
"482450017",2082099.45835098,7334865.10710582,24.6,"JEFFERSON"
"482450018",2077820.06575751,7329293.31471666,24.3,"JEFFERSON"
"482450022",2047764.76600093,7318937.1894816,24.6,"JEFFERSON"
"482450101",2089192.51979594,7304925.61179046,25.5,"JEFFERSON"
"482450102",2077841.11520465,7329261.09087064,25,"JEFFERSON"
"482450628",2082698.63798015,7320906.21629318,22.8,"JEFFERSON"
"482451035",2076613.9465534,7333209.62981653,25.3,"JEFFERSON"
"482451050",2068411.17026888,7342635.47317706,25.2,"JEFFERSON"
"482451071",2082105.47831117,7319044.2928542,25.2,"JEFFERSON"
"482510003",1740779.05923293,7584257.29143328,25.4,"JOHNSON"
"482511008",1765582.61776908,7597817.06497334,25.7,"JOHNSON"
"482570005",1845101.31790903,7610700.01028539,25,"KAUFMAN"
"482730314",1767102.28722132,7037762.67069901,24.5,"KLEBERG"
"483031028",1334341.49555225,7719639.30796224,31.3,"LUBBOCK"
"483091037",1777225.51586753,7507302.61511252,26.2,"MC LENNAN"
"483230004",1455965.01909523,7176267.68077277,33.1,"MAVERICK"
"483390078",1938866.52073326,7367961.55701534,25.9,"MONTGOMERY"
"483390698",1933818.07979681,7355059.67881985,28.1,"MONTGOMERY"
"483491051",1839374.39475616,7551245.48078634,26.1,"NAVARRO"
"483491081",1844289.35283065,7537198.25032503,26.5,"NAVARRO"
"483550025",1752823.18188111,7074940.29033374,25.9,"NUECES"
"483550026",1740681.26922566,7082201.36652079,26.9,"NUECES"
